state,capital,latitude,longitude
Johor,Johor Bahru,1.4927,103.7414
Kedah,Alor Setar,6.1263,100.3672
Kelantan,Kota Bharu,6.1248,102.2544
Malacca,Malacca City,2.1896,102.2501
Negeri Sembilan,Seremban,2.7259,101.9378
Pahang,Kuantan,3.7634,103.2202
Penang,Georgetown,5.4141,100.3288
Perak,Ipoh,4.5975,101.0901
Perlis,Kangar,6.4406,100.1984
Sabah,Kota Kinabalu,5.9804,116.0735
Sarawak,Kuching,1.5535,110.3593
Selangor,Shah Alam,3.0733,101.5185
Terengganu,Kuala Terengganu,5.3296,103.137
Kuala Lumpur,Kuala Lumpur,3.139,101.6869
Labuan,Victoria,5.2813,115.2479
Putrajaya,Putrajaya,2.9264,101.6964
